"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Audi A3 Sportback NF 35 TFSI 110 kW (150 cv) 6 vel. S line/Black line MY23","","Gasolina","M1","1835","","","",""
"Audi A3 Sportback NF 35 TFSI 110 kW (150 cv) S tronic 7 vel. Advanced MY21","","Híbridos de gasolina","M1","1870","","9.4","",""
"Audi A3 Sportback NF 35 TFSI 110 kW (150 cv) S tronic 7 vel. Advanced MY22","","Gasolina","M1","1875","","","",""
"Audi A3 Sportback NF 35 TFSI 110 kW (150 cv) S tronic 7 vel. Advanced MY23","","Gasolina","M1","1875","","","",""
"Audi A3 Sportback NF 35 TFSI 110 kW (150 cv) S tronic 7 vel. Genuine / S Line / Black Line MY21","","Híbridos de gasolina","M1","1870","","9.4","",""
"Audi A3 Sportback NF 35 TFSI 110 kW (150 cv) S tronic 7 vel. MY21","","Híbridos de gasolina","M1","1870","","9.4","",""
"Audi A3 Sportback NF 35 TFSI 110 kW (150 cv) S tronic 7 vel. S line/Black line MY22","","Gasolina","M1","1875","","","",""
"Audi A3 Sportback NF 35 TFSI 110 kW (150 cv) S tronic 7 vel. S line/Black line MY23","","Gasolina","M1","1875","","","",""
"Audi A3 Sportback NF 40 TFSI e 150 kW (205 cv) S tronic 7 vel. Advanced MY21","","Híbridos enchufables","M1","2065","144.0","85.0","65.0","13.0"
"Audi A3 Sportback NF 40 TFSI e 150 kW (205 cv) S tronic 7 vel. S line / Black line MY21","","Híbridos enchufables","M1","2065","152.0","85.0","60.0","13.0"
"Audi A3 Sportback NF 40 TFSI e150 kW (204 cv) S tronic 6 vel. Advanced MY22","","Híbridos enchufables","M1","2065","15.1","85.0","61.0","10.4"
"Audi A3 Sportback NF 40 TFSI e150 kW (204 cv) S tronic 6 vel. S line/Black line MY22","","Híbridos enchufables","M1","2065","15.1","80.0","61.0","10.4"
"Audi A3 Sportback NF 40 TFSIe 150 kW (204 CV) S tronic 6 vel. Advanced / S line MY23","","Híbridos enchufables","M1","2085","14.8","110.0","63.0","10.4"
"Audi A3 Sportback NF 40 TFSIe 150 kW (204 CV) S tronic 6 vel. Advanced MY24","","Híbridos enchufables","M1","2085","15.7","80.0","64.0","13.0"
"Audi A3 Sportback NF 40 TFSIe 150 kW (204 cv) S tronic 6 vel. Genuine edition MY24","","Híbridos enchufables","M1","2085","15.4","80.0","60.0","13.0"
"Audi A3 Sportback NF 40 TFSIe 150 kW (204 cv) S tronic 6 vel. S line MY24","","Híbridos enchufables","M1","2085","15.7","80.0","60.0","13.0"
"Audi A3 Sportback NF 45 TFSI e 180 kW (245 CV) S tronic 6 vel. Black line competition MY23","","Híbridos enchufables","M1","2320","15.4","80.0","59.0","10.4"
"Audi A3 Sportback NF 45 TFSI e180 kW (245 CV) S tronic 6 vell. Black line competition MY22","","Híbridos enchufables","M1","2065","15.6","86.0","61.0","10.4"
"Audi A3 Sportback NF 45 TFSIe 180 kW (245 CV) S tronic 6 vel. Black line competition MY24","","Híbridos enchufables","M1","2095","15.8","80.0","59.0","13.0"
"Audi A3 Sportback NF RS 3 quattro Sportback 294 kW (400 CV) S tronic 7 vel. MY23","","Gasolina","M1","2075","","","",""
"Audi A3 Sportback NF S3 228 kW (310 cv) S tronic 7 vel. S MY21","","Gasolina","M1","2020","","","",""
"Audi A3 Sportback NF S3 quattro Sportback 228 kW (310 CV) S tronic 7 vel. MY23","","Gasolina","M1","2020","","","",""
"Audi A4 30 TDI 90 kW (122 CV) S tronic MY19","","Gasóleo","M1","2080","","","",""
"Audi A4 35 TDI 110 kW (150 CV) S tronic MY19","","Gasóleo","M1","2065","","","",""
"Audi A4 35 TFSI 110 kW (150 CV) 6 vel. MY19","","Gasolina","M1","2000","","","",""
"Audi A4 35 TFSI 110 kW (150 CV) S tronic MY19","","Gasolina","M1","2035","","","",""
"Audi A4 40 TDI 140 kW (190 CV) S tronic MY19","","Gasóleo","M1","2075","","","",""
"Audi A4 40 TDI quattro 140 kW (190 CV) S tronic MY19","","Gasóleo","M1","2160","","","",""
"Audi A4 40 TFSI 140 kW (190 CV) S tronic MY19","","Gasolina","M1","2040","","","",""
"Audi A4 45 TFSI quattro 180 kW (245 CV) S tronic MY19","","Gasolina","M1","2110","","","",""
"Audi A4 50 TDI quattro 210 kW (286CV)  S tronic MY19","","Gasóleo","M1","2280","","","",""
"Audi A4 ALLROAD 40 TDI quattro 140 kW (190 CV) S tronic 7 vel. MY21","","Gasóleo","M1","2250","","","",""
"Audi A4 ALLROAD 40 TDI quattro 150 kW (205 CV) S tronic 7 vel. MY21","","Híbridos de gasóleo","M1","2250","","1.3","",""
"Audi A4 ALLROAD 40 TDI quattro-ultra 150 kW (204 CV) S tronic 7 vel. Allroad MY22","","Gasóleo","M1","2250","","","",""
"Audi A4 ALLROAD 40 TDI quattro-ultra 150 kW (204 CV) S tronic 7 vel. Allroad quattro MY23","","Gasóleo","M1","2250","","","",""
"Audi A4 ALLROAD 45 TDI quattro 170 kW (231 CV) S tronic 7 vel. MY21","","Gasóleo","M1","2350","","","",""
"Audi A4 ALLROAD 45 TFSI  180 kW (245 CV) S tronic MY19","","Gasolina","M1","2200","","","",""
"Audi A4 ALLROAD 45 TFSI quattro-ultra 190 kW (265 CV) S tronic 7 vel. MY21","","Híbridos de gasolina","M1","2220","","1.3","",""
"Audi A4 ALLROAD 45 TFSI quattro-ultra 195 kW (265 CV) S tronic 7 vel. Allroad quattro MY23","","Gasolina","M1","2220","","","",""
"Audi A4 ALLROAD QUATTRO 40 TDI quattro 140 kW (190 CV) S tronic MY 20","","Gasóleo","M1","2250","","","",""
"Audi A4 ALLROAD QUATTRO 45 TDI quattro 170 kW (231 CV) tiptronic MY 20","","Gasóleo","M1","2350","","","",""
"Audi A4 ALLROAD QUATTRO 45 TFSI quattro 180 kW (245 CV) S tronic MY 20","","Híbridos de gasolina","M1","2200","","1.5","",""
"Audi A4 Avant 30 TDI 100 kW (136 CV) S tronic 7 vel. Advanced MY21","","Híbridos de gasóleo","M1","2160","","1.3","",""
"Audi A4 Avant 30 TDI 100 kW (136 CV) S tronic 7 vel. Advanced MY23","","Gasóleo","M1","2090","","","",""
"Audi A4 Avant 30 TDI 100 kW (136 CV) S tronic 7 vel. S line/Black Line MY21","","Híbridos de gasóleo","M1","2160","","1.3","",""
"Audi A4 Avant 30 TDI 100 kW (136 CV) S tronic 7 vel. S line/Black line MY23","","Gasóleo","M1","2090","","","",""
"Audi A4 Avant 30 TDI 100 kW (136 CV) S tronic MY 20","","Híbridos de gasóleo","M1","2160","","1.5","",""
"Audi A4 Avant 30 TDI 152 kW (204 CV) S tronic 7 vel. Advanced MY22","","Gasóleo","M1","2160","","","",""
"Audi A4 Avant 30 TDI 152 kW (204 CV) S tronic 7 vel. S line/Black line MY22","","Gasóleo","M1","2160","","","",""
"Audi A4 Avant 30 TDI 90 kW (122 CV) S tronic MY19","","Gasóleo","M1","2150","","","",""
"Audi A4 Avant 35 TDI 120 kW (163 CV) S tronic 7 vel. Advanced MY21","","Híbridos de gasóleo","M1","2165","","1.3","",""
"Audi A4 Avant 35 TDI 120 kW (163 CV) S tronic 7 vel. Advanced MY23","","Gasóleo","M1","2095","","","",""
"Audi A4 Avant 35 TDI 120 kW (163 CV) S tronic 7 vel. S line/Black Line MY21","","Híbridos de gasóleo","M1","2165","","1.3","",""
"Audi A4 Avant 35 TDI 120 kW (163 CV) S tronic 7 vel. S line/Black line/ Black limited MY23","","Gasóleo","M1","2095","","","",""
"Audi A4 Avant 35 TDI 120 kW (163 CV) S tronic MY 20","","Híbridos de gasóleo","M1","2165","","1.5","",""
"Audi A4 Avant 35 TDI 153 kW (204 CV) S tronic 7 vel. Advanced MY22","","Gasóleo","M1","2165","","","",""
"Audi A4 Avant 35 TDI 153 kW (204 CV) S tronic 7 vel. S line/Black line MY22","","Gasóleo","M1","2165","","","",""
"Audi A4 Avant 35 TFSI 110 kW (150 CV) 6 vel. Advanced MY21","","Híbridos de gasolina","M1","2070","","1.5","",""
"Audi A4 Avant 35 TFSI 110 kW (150 CV) 6 vel. Advanced MY21","","Híbridos de gasolina","M1","2085","","1.3","",""
"Audi A4 Avant 35 TFSI 110 kW (150 CV) 6 vel. Advanced MY22","","Gasolina","M1","2085","","","",""
"Audi A4 Avant 35 TFSI 110 kW (150 CV) 6 vel. MY 20","","Híbridos de gasolina","M1","2070","","1.5","",""
"Audi A4 Avant 35 TFSI 110 kW (150 CV) 6 vel. MY19","","Gasolina","M1","2065","","","",""
"Audi A4 Avant 35 TFSI 110 kW (150 CV) 6 vel. S line/Black Line MY21","","Híbridos de gasolina","M1","2085","","1.3","",""
"Audi A4 Avant 35 TFSI 110 kW (150 CV) S tronic 7 vel. Advanced MY21","","Híbridos de gasolina","M1","2100","","1.5","",""
"Audi A4 Avant 35 TFSI 110 kW (150 CV) S tronic 7 vel. Advanced MY21","","Híbridos de gasolina","M1","2115","","1.3","",""
"Audi A4 Avant 35 TFSI 110 kW (150 CV) S tronic 7 vel. Advanced MY23","","Gasolina","M1","2115","","","",""
"Audi A4 Avant 35 TFSI 110 kW (150 CV) S tronic 7 vel. S line/Black Line MY21","","Híbridos de gasolina","M1","2115","","1.3","",""
"Audi A4 Avant 35 TFSI 110 kW (150 CV) S tronic 7 vel. S line/black line/Black limited MY23","","Gasolina","M1","2115","","","",""
"Audi A4 Avant 35 TFSI 110 kW (150 CV) S tronic MY 20","","Híbridos de gasolina","M1","2100","","1.5","",""
"Audi A4 Avant 35 TFSI 110 kW (150 CV) S tronic MY19","","Gasolina","M1","2100","","","",""
"Audi A4 Avant 40 g-tron 125 kW (170 CV) S tronic MY19","","Gas natural","M1","2135","","","",""
"Audi A4 Avant 40 TDI 140 kW (190 CV) S tronic MY 20","","Gasóleo","M1","2170","","","",""
"Audi A4 Avant 40 TDI 150 kW (205 CV) S tronic 7 vel. Advanced MY21","","Gasóleo","M1","2170","","","",""
"Audi A4 Avant 40 TDI 150 kW (205 CV) S tronic 7 vel. S line/Black Line MY21","","Gasóleo","M1","2170","","","",""
"Audi A4 Avant 40 TDI 154 kW (204 CV) S tronic 7 vel. Advanced MY22","","Gasóleo","M1","2175","","","",""
"Audi A4 Avant 40 TDI quattro 140 kW (190 CV) S tronic 7 vel. S line/Black Line MY21","","Gasóleo","M1","2230","","","",""
"Audi A4 Avant 40 TDI quattro 140 kW (190 CV) S tronic MY 20","","Gasóleo","M1","2230","","","",""
"Audi A4 Avant 40 TDI quattro 150 kW (205 CV) S tronic 7 vel. Advanced MY21","","Híbridos de gasóleo","M1","2230","","1.3","",""
"Audi A4 Avant 40 TDI quattro 150 kW (205 CV) S tronic 7 vel. S line/Black Line MY21","","Híbridos de gasóleo","M1","2230","","1.3","",""
"Audi A4 Avant 40 TDI quattro-ultra 150 kW (204 CV) S tronic 7 vel. Advanced MY23","","Gasóleo","M1","2160","","","",""
"Audi A4 Avant 40 TDI quattro-ultra 150 kW (204 CV) S tronic 7 vel. S line/Black line/ Black limited MY23","","Gasóleo","M1","2160","","","",""
"Audi A4 Avant 40 TDI quattro-ultra 155 kW (204 CV) S tronic 7 vel. Advanced MY22","","Gasóleo","M1","2230","","","",""
"Audi A4 Avant 40 TDI quattro-ultra 155 kW (204 CV) S tronic 7 vel. S line/Black line MY22","","Gasóleo","M1","2230","","","",""
"Audi A4 Avant 40 TFSI 140 kW (190 CV) 6 vel. MY19","","Gasolina","M1","2145","","","",""
"Audi A4 Avant 40 TFSI 140 kW (190 CV) S tronic MY 20","","Híbridos de gasolina","M1","2115","","1.5","",""
"Audi A4 Avant 40 TFSI 140 kW (190 CV) S tronic MY19","","Gasolina","M1","2220","","","",""
"Audi A4 Avant 40 TFSI 140 kW (190 CV) S tronic MY19","","Gasolina","M1","2115","","","",""
"Audi A4 Avant 40 TFSI 150 kW (204 CV) S tronic 7 vel. Advanced MY23","","Gasolina","M1","2060","","","",""
"Audi A4 Avant 40 TFSI 150 kW (204 CV) S tronic 7 vel. S line/Black line MY23","","Gasolina","M1","2060","","","",""
"Audi A4 Avant 40 TFSI quattro 150 kW( 204CV) S tronic Advanced MY21","","Híbridos de gasolina","M1","2200","","1.3","",""
"Audi A4 Avant 40 TFSI150 kW (204 CV) S tronic 7 vel. Advanced MY22","","Gasolina","M1","2140","","","",""
"Audi A4 Avant 45 TDI quattro 170 kW (231 CV) S tronic MY19","","Gasóleo","M1","2145","","","",""
"Audi A4 Avant 45 TFSI quattro 180 kW (245 CV) S tronic MY 20","","Híbridos de gasolina","M1","2175","","1.5","",""
"Audi A4 Avant 45 TFSI quattro-ultra 190 kW (265 CV) S tronic 7 vel. Advanced MY21","","Híbridos de gasolina","M1","2195","","1.3","",""
"Audi A4 Avant 45 TFSI quattro-ultra 190 kW (265 CV) S tronic 7 vel. S line/Black Line MY21","","Híbridos de gasolina","M1","2195","","1.3","",""
"Audi A4 Avant 45 TFSI quattro-ultra 195 kW (265 CV) S tronic 7 vel. S line/Black line MY23","","Gasolina","M1","2135","","","",""
"Audi A4 Avant 50 TDI quattro 210 kW (286CV)  S tronic MY19","","Gasóleo","M1","2335","","","",""
"Audi A4 Avant 50 TDI quattro 210 kW (286CV)  S tronic MY19","","Gasóleo","M1","2335","","","",""
"Audi A4 Avant RS 4 Competition Plus 331 kW (450 CV) triptonic 8 vel. Avant MY23","","Gasolina","M1","2100","","","",""
"Audi A4 Avant RS 4 TFSI quattro 331 kW (450 CV) tiptronic 8 vel. RS MY21","","Gasolina","M1","2350","","","",""
"Audi A4 Avant RS 4 TFSI quattro 331 kW (450 CV) triptonic 8 vel. Avant MY23","","Gasolina","M1","2100","","","",""
"Audi A4 Avant S4 TDI quattro 251 kW (341 CV) triptonic 8 vel. Avant MY23","","Gasolina","M1","2100","","","",""
"Audi A4 Avant S4 TDI quattro 255 kW (347 CV) tiptronic 8 vel. S MY21","","Híbridos de gasóleo","M1","2375","","8.4","",""
"Audi A4 Berlina 30 TDI 100 kW (136 CV) S tronic 7 vel. Advanced MY21","","Híbridos de gasóleo","M1","2090","","1.3","",""
"Audi A4 Berlina 30 TDI 100 kW (136 CV) S tronic 7 vel. Advanced MY23","","Gasóleo","M1","2090","","","",""
"Audi A4 Berlina 30 TDI 100 kW (136 CV) S tronic 7 vel. S line MY21","","Híbridos de gasóleo","M1","2090","","1.3","",""
"Audi A4 Berlina 30 TDI 100 kW (136 CV) S tronic 7 vel. S line/Black line MY23","","Gasóleo","M1","2090","","","",""
"Audi A4 Berlina 30 TDI 152 kW (204 CV) S tronic 7 vel. Advanced MY22","","Gasóleo","M1","2090","","","",""
"Audi A4 Berlina 35 TDI 120 kW (163 CV) S tronic 7 vel. Advanced MY21","","Híbridos de gasóleo","M1","2095","","1.3","",""
"Audi A4 Berlina 35 TDI 120 kW (163 CV) S tronic 7 vel. Advanced MY23","","Gasóleo","M1","2095","","","",""
"Audi A4 Berlina 35 TDI 120 kW (163 CV) S tronic 7 vel. S line MY21","","Híbridos de gasóleo","M1","2095","","1.3","",""
"Audi A4 Berlina 35 TDI 120 kW (163 CV) S tronic 7 vel. S line/Black line MY23","","Gasóleo","M1","2095","","","",""
"Audi A4 Berlina 35 TDI 153 kW (204 CV) S tronic 7 vel. Advanced MY22","","Gasóleo","M1","2095","","","",""
"Audi A4 Berlina 35 TFSI 110 kW (150 CV) 6 vel. Advanced MY21","","Híbridos de gasolina","M1","2005","","1.3","",""
"Audi A4 Berlina 35 TFSI 110 kW (150 CV) 6 vel. S line/Black line MY21","","Híbridos de gasolina","M1","2005","","1.3","",""
"Audi A4 Berlina 35 TFSI 110 kW (150 CV) S tronic 7 vel. Advanced MY22","","Gasolina","M1","2040","","","",""
"Audi A4 Berlina 35 TFSI 110 kW (150 CV) S tronic 7 vel. Advanced MY23","","Gasolina","M1","2040","","","",""
"Audi A4 Berlina 35 TFSI 110 kW (150 CV) S tronic 7 vel. S line/Black line MY21","","Híbridos de gasolina","M1","2040","","1.3","",""
"Audi A4 Berlina 35 TFSI 110 kW (150 CV) S tronic 7 vel. S line/Black line MY22","","Gasolina","M1","2040","","","",""
"Audi A4 Berlina 35 TFSI 110 kW (150 CV) S tronic 7 vel. S line/Black line MY23","","Gasolina","M1","2040","","","",""
"Audi A4 Berlina 40 TDI 140 kW (190 CV) S tronic MY 20","","Gasóleo","M1","2100","","","",""
"Audi A4 Berlina 40 TDI quattro 140 kW (190 CV) S tronic 7 vel. S line MY21","","Gasóleo","M1","2160","","","",""
"Audi A4 Berlina 40 TDI quattro 150 kW (205 CV) S tronic 7 vel. Advanced MY21","","Híbridos de gasóleo","M1","2160","","1.3","",""
"Audi A4 Berlina 40 TDI quattro 150 kW (205 CV) S tronic 7 vel. S line MY21","","Híbridos de gasóleo","M1","2160","","1.3","",""
"Audi A4 Berlina 40 TDI quattro-ultra 150 kW (204 CV) S tronic 7 vel. Advanced MY23","","Gasóleo","M1","2160","","","",""
"Audi A4 Berlina 40 TDI quattro-ultra 150 kW (204 CV) S tronic 7 vel. S line/Black line MY23","","Gasóleo","M1","2160","","","",""
"Audi A4 Berlina 40 TDI quattro-ultra 155 kW (204 CV) S tronic 7 vel. S line/Black line MY22","","Gasóleo","M1","2160","","","",""
"Audi A4 Berlina 40 TFSI 150 kW (204 CV) S tronic 7 vel. Advanced MY23","","Gasolina","M1","2060","","","",""
"Audi A4 Berlina 40 TFSI 150 kW (204 CV) S tronic 7 vel. S line/Black line MY23","","Gasolina","M1","2060","","","",""
"Audi A4 Berlina 40 TFSI 150 kW (205 CV) S tronic 7 vel. Advanced MY21","","Híbridos de gasolina","M1","2060","","1.3","",""
"Audi A4 Berlina 40 TFSI 150 kW (205 CV) S tronic 7 vel. S line/Black line MY21","","Híbridos de gasolina","M1","2060","","1.3","",""
"Audi A4 Berlina 45 TFSI quattro-ultra 190 kW (265 CV) S tronic 7 vel. Advanced MY21","","Híbridos de gasolina","M1","2135","","1.3","",""
"Audi A4 Berlina 45 TFSI quattro-ultra 195 kW (265 CV) S tronic 7 vel. S line/Black line MY23","","Gasolina","M1","2135","","","",""
"Audi A4 Berlina S4 TDI quattro 251 kW (341 CV) triptonic 8 vel. MY23","","Gasóleo","M1","2100","","","",""
"Audi A4 LIMOUSINE 30 TDI 100 kW (136 CV) S tronic MY 20","","Híbridos de gasóleo","M1","2090","","1.5","",""
"Audi A4 LIMOUSINE 35 TDI 120 kW (163 CV) S tronic MY 20","","Híbridos de gasóleo","M1","2095","","1.5","",""
"Audi A4 LIMOUSINE 35 TFSI 110 kW (150 CV) 6 vel. MY 20","","Híbridos de gasolina","M1","2005","","1.5","",""
"Audi A4 LIMOUSINE 35 TFSI 110 kW (150 CV) S tronic MY 20","","Híbridos de gasolina","M1","2035","","1.5","",""
"Audi A4 LIMOUSINE 40 TDI quattro 140 kW (190 CV) S tronic MY 20","","Gasóleo","M1","2160","","","",""
"Audi A4 LIMOUSINE 40 TFSI 140 kW (190 CV) S tronic MY 20","","Híbridos de gasolina","M1","2040","","1.5","",""
"Audi A4 LIMOUSINE 45 TFSI quattro 180 kW (245 CV) S tronic MY 20","","Híbridos de gasolina","M1","2110","","1.5","",""
"Audi A5 CABRIO 35 TDI 120 kW (163 CV) S tronic 7 vel. Advanced MY21","","Híbridos de gasóleo","M1","2170","","1.3","",""
"Audi A5 CABRIO 35 TDI 120 kW (163 CV) S tronic 7 vel. Advanced MY22","","Gasóleo","M1","2170","","","",""
"Audi A5 CABRIO 35 TDI 120 kW (163 CV) S tronic 7 vel. Advanced MY23","","Gasóleo","M1","2010","","","",""
"Audi A5 CABRIO 35 TDI 120 kW (163 CV) S tronic 7 vel. S line MY23","","Gasóleo","M1","2010","","","",""
"Audi A5 CABRIO 35 TDI 120 kW (163 CV) S tronic 7 vel. S line/Black line MY21","","Híbridos de gasóleo","M1","2170","","1.3","",""
"Audi A5 CABRIO 35 TDI 120 kW (163 CV) S tronic MY 20","","Híbridos de gasóleo","M1","2170","","1.5","",""
"Audi A5 CABRIO 40 TDI 140 kW (190 CV) S tronic MY 20","","Gasóleo","M1","2215","","","",""
"Audi A5 CABRIO 40 TDI 150 kW (204 CV) S tronic 7 vel. Advanced MY23","","Gasóleo","M1","2015","","","",""
"Audi A5 CABRIO 40 TDI 150 kW (204 CV) S tronic 7 vel. S line MY23","","Gasóleo","M1","2015","","","",""
"Audi A5 CABRIO 40 TDI quattro 140 kW (190 CV) S tronic MY 20","","Gasóleo","M1","2280","","","",""
"Audi A5 CABRIO 40 TDI quattro-ultra 150 kW (204 CV) S tronic 7 vel. Advanced MY23","","Gasóleo","M1","2085","","","",""
"Audi A5 CABRIO 40 TDI quattro-ultra 150 kW (204 CV) S tronic 7 vel. S line MY23","","Gasóleo","M1","2085","","","",""
"Audi A5 CABRIO 40 TFSI 140 kW (190 CV) S tronic MY 20","","Híbridos de gasolina","M1","2160","","1.5","",""
"Audi A5 CABRIO 40 TFSI 150 kW (204 CV) S tronic 7 vel. Advanced MY23","","Gasolina","M1","1975","","","",""
"Audi A5 CABRIO 40 TFSI 150 kW (204 CV) S tronic 7 vel. S line MY22","","Gasolina","M1","2170","","","",""
"Audi A5 CABRIO 40 TFSI 150 kW (204 CV) S tronic 7 vel. S line MY23","","Gasolina","M1","1975","","","",""
"Audi A5 CABRIO 45 TFSI quattro 180 kW (245 CV) S tronic 7 vel. S line MY21","","Híbridos de gasolina","M1","2235","","1.5","",""
"Audi A5 CABRIO 45 TFSI quattro 180 kW (245 CV) S tronic MY 20","","Híbridos de gasolina","M1","2235","","1.5","",""
"Audi A5 CABRIO 45 TFSI quattro 190 kW (265 CV) S tronic 7 vel. S line/Black line MY21","","Híbridos de gasolina","M1","2245","","1.3","",""
"Audi A5 CABRIO 45 TFSI quattro-ultra 195 kW (265 CV) S tronic 7 vel. Advanced MY23","","Gasolina","M1","2050","","","",""
"Audi A5 CABRIO 45 TFSI quattro-ultra 195 kW (265 CV) S tronic 7 vel. S line MY23","","Gasolina","M1","2050","","","",""
"Audi A5 CABRIO 50 TDI quattro 210 kW (286 CV) tiptronic MY 20","","Gasóleo","M1","2380","","","",""
"Audi A5 COUPÉ 35 TDI 110 kW (150CV) S tronic MY19","","Gasóleo","M1","2000","","","",""
"Audi A5 COUPÉ 35 TDI 120 kW (163 CV) S tronic 7 vel. Advanced MY23","","Gasóleo","M1","2010","","","",""
"Audi A5 COUPÉ 35 TDI 120 kW (163 CV) S tronic 7 vel. S line/Black line MY23","","Gasóleo","M1","2010","","","",""
"Audi A5 COUPÉ 35 TDI 120 kW (163 CV) S tronic MY 20","","Híbridos de gasóleo","M1","2010","","1.5","",""
"Audi A5 COUPÉ 40 TDI 140 kW (190 CV) S tronic MY 20","","Gasóleo","M1","2015","","","",""
"Audi A5 COUPÉ 40 TDI 140 kW (190 CV) S tronic MY19","","Gasóleo","M1","2015","","","",""
"Audi A5 COUPÉ 40 TDI 150 kW (204 CV) S tronic 7 vel. Advanced MY23","","Gasóleo","M1","2015","","","",""
"Audi A5 COUPÉ 40 TDI 150 kW (204 CV) S tronic 7 vel. S line /Black line MY23","","Gasóleo","M1","2015","","","",""
"Audi A5 COUPÉ 40 TDI quattro 140 kW (190 CV) S tronic MY 20","","Gasóleo","M1","2085","","","",""
"Audi A5 COUPÉ 40 TDI quattro 140 kW (190 CV) S tronic MY19","","Gasóleo","M1","2080","","","",""
"Audi A5 COUPÉ 40 TDI quattro 150 kW (205 CV) S tronic 7 vel. S line/Black Line MY21","","Híbridos de gasóleo","M1","2085","","1.3","",""
"Audi A5 COUPÉ 40 TDI quattro-ultra 150 kW (204 CV) S line/Black line MY23","","Gasóleo","M1","2085","","","",""
"Audi A5 COUPÉ 40 TDI quattro-ultra 150 kW (204 CV) S tronic 7 vel. Advanced MY23","","Gasóleo","M1","2085","","","",""
"Audi A5 COUPÉ 40 TFSI 140 kW (190 CV) 6 vel. MY19","","Gasolina","M1","1925","","","",""
"Audi A5 COUPÉ 40 TFSI 140 kW (190 CV) S tronic MY 20","","Híbridos de gasolina","M1","1965","","1.5","",""
"Audi A5 COUPÉ 40 TFSI 140 kW (190 CV) S tronic MY19","","Gasolina","M1","1960","","","",""
"Audi A5 COUPÉ 40 TFSI 150 kW (204 CV) S tronic 7 vel. Advanced MY23","","Gasolina","M1","1975","","","",""
"Audi A5 COUPÉ 40 TFSI 150 kW (204 CV) S tronic 7 vel. S line/Black line MY23","","Gasolina","M1","1975","","","",""
"Audi A5 COUPÉ 40 TFSI 150 kW (205 CV) S tronic 7 vel. S line/Black Line MY21","","Híbridos de gasolina","M1","1975","","1.3","",""
"Audi A5 COUPÉ 45 TDI quattro 170 kW (231 CV) tiptronic MY19","","Gasóleo","M1","2200","","","",""
"Audi A5 COUPÉ 45 TFSI quattro 180 kW (245 CV) S tronic MY 20","","Híbridos de gasolina","M1","2035","","1.5","",""
"Audi A5 COUPÉ 45 TFSI quattro 180 kW (245CV) S tronic MY19","","Gasolina","M1","2035","","","",""
"Audi A5 COUPÉ 45 TFSI quattro 190 kW (265 CV) S tronic 7 vel. MY21","","Híbridos de gasolina","M1","2050","","1.3","",""
"Audi A5 COUPÉ 45 TFSI quattro 190 kW (265 CV) S tronic 7 vel. S line/Black Line MY21","","Híbridos de gasolina","M1","2050","","1.3","",""
"Audi A5 COUPÉ 45 TFSI quattro-ultra 195 kW (265 CV) S tronic 7 vel. Advanced MY23","","Gasolina","M1","2050","","","",""
"Audi A5 COUPÉ 45 TFSI quattro-ultra 195 kW (265 CV) S tronic 7 vel. S line/Black line MY23","","Gasolina","M1","2050","","","",""
"Audi A5 COUPÉ 50 TDI quattro 210 kW (286 CV) tiptronic 8 vel. S line/Black Line MY21","","Gasóleo","M1","2210","","","",""
"Audi A5 COUPÉ 50 TDI quattro 210 kW (286 CV) tiptronic MY 20","","Gasóleo","M1","2210","","","",""
"Audi A5 COUPÉ 50 TDI quattro 210 kW (286CV) tiptronic MY19","","Gasóleo","M1","2165","","","",""
"Audi A5 COUPÉ RS 5 Competition Plus 331 kW (450 CV) Triptonic RS MY23","","Gasolina","M1","2210","","","",""
"Audi A5 COUPÉ RS 5 TFSI quattro 331 kW (450 CV) Triptonic 8 vel. RS MY23","","Gasolina","M1","2210","","","",""
"Audi A5 COUPÉ S5 TDI quattro 251 kW (341 CV) Triptonic 8 vel. S MY23","","Gasóleo","M1","2270","","","",""
"Audi A5 COUPÉ S5 TDI quattro 255 kW (347 CV) tiptronic 8 vel. S MY21","","Híbridos de gasóleo","M1","2270","","8.4","",""
"Audi A5 SPORTBACK 35 TDI 110 kW (150CV) S tronic MY19","","Gasóleo","M1","2110","","","",""
"Audi A5 SPORTBACK 35 TDI 120 kW (163 CV) S tronic 7 vel. Advanced MY21","","Híbridos de gasóleo","M1","2120","","1.3","",""
"Audi A5 SPORTBACK 35 TDI 120 kW (163 CV) S tronic 7 vel. Advanced MY22","","Gasóleo","M1","2120","","","",""
"Audi A5 SPORTBACK 35 TDI 120 kW (163 CV) S tronic 7 vel. Advanced MY23","","Gasóleo","M1","2010","","","",""
"Audi A5 SPORTBACK 35 TDI 120 kW (163 CV) S tronic 7 vel. MY21","","Híbridos de gasóleo","M1","2120","","1.3","",""
"Audi A5 SPORTBACK 35 TDI 120 kW (163 CV) S tronic 7 vel. S line/Black Line MY21","","Híbridos de gasóleo","M1","2120","","1.3","",""
"Audi A5 SPORTBACK 35 TDI 120 kW (163 CV) S tronic 7 vel. S line/Black line MY22","","Gasóleo","M1","2120","","","",""
"Audi A5 SPORTBACK 35 TDI 120 kW (163 CV) S tronic 7 vel. S line/Black line/ Black limited MY23","","Gasóleo","M1","2010","","","",""
