"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Citroën ë-Berlingo 50 kWh Talla XL","","Eléctricos puros","M1","2320","22.7","100.0","245.0","50.0"
"Citroën ë-Berlingo Van Batería 50 KWh Talla M","","Eléctricos puros","N1","2390","22.7","100.0","245.0","50.0"
"Citroën ë-Berlingo Van Batería 50 KWh Talla XL","","Eléctricos puros","N1","2385","22.7","100.0","245.0","50.0"
"Citroën ë-C4 115 KW","","Eléctricos puros","M1","2020","14.9","115.0","420.0","54.0"
"Citroën ë-C4 eléctrico 100 KW - 50KWh E SERIES","","Eléctricos puros","M1","2000","16.6","100.0","357.0","50.0"
"Citroën ë-C4 eléctrico 100 KW - 50KWh YOU","","Eléctricos puros","M1","2000","16.6","100.0","357.0","50.0"
"Citroën ë-C4 Eléctrico 100 KW C-SERIES","","Eléctricos puros","M1","2000","15.3","100.0","353.0","50.0"
"Citroën ë-C4 Eléctrico 100 KW FEEL","","Eléctricos puros","M1","2000","15.3","100.0","353.0","50.0"
"Citroën ë-C4 Eléctrico 100 KW FEEL PACK","","Eléctricos puros","M1","2000","15.3","100.0","353.0","50.0"
"Citroën ë-C4 Eléctrico 100 KW SHINE","","Eléctricos puros","M1","2000","15.3","100.0","353.0","50.0"
"Citroën ë-C4 eléctrico 100KW- 50KWh MAX","","Eléctricos puros","M1","2000","16.6","100.0","357.0","50.0"
"Citroën ë-C4 eléctrico 100KW- 50KWh PLUS","","Eléctricos puros","M1","2000","16.6","100.0","357.0","50.0"
"Citroën ë-C4 eléctrico 115 KW - 54KWh E SERIES","","Eléctricos puros","M1","2020","14.9","115.0","420.0","54.0"
"Citroën ë-C4 eléctrico 115 KW - 54KWh MAX","","Eléctricos puros","M1","2020","14.9","115.0","420.0","54.0"
"Citroën ë-C4 eléctrico 115 KW - 54KWh PLUS","","Eléctricos puros","M1","2020","14.9","115.0","420.0","54.0"
"Citroën ë-C4 ELÉCTRICO 115 KW - 54KWh SHINE","","Eléctricos puros","M1","2020","14.9","115.0","420.0","54.0"
"Citroën ë-C4 eléctrico 115 KW - 54KWh YOU","","Eléctricos puros","M1","2020","14.9","115.0","420.0","54.0"
"Citroën ë-C4X 115 KW","","Eléctricos puros","M1","2040","14.8","115.0","420.0","54.0"
"Citroën ë-C4X ELÉCTRICO 100 KW","","Eléctricos puros","M1","2040","15.4","100.0","357.0","50.0"
"Citroën ë-C4X ELÉCTRICO 100 KW - 50KWh Ë Series","","Eléctricos puros","M1","2040","15.4","100.0","357.0","50.0"
"Citroën ë-C4X ELÉCTRICO 100 KW - 50KWh Plus","","Eléctricos puros","M1","2040","15.4","100.0","357.0","50.0"
"Citroën ë-C4X ELÉCTRICO 100 KW - 50KWh You","","Eléctricos puros","M1","2040","15.4","100.0","357.0","50.0"
"Citroën ë-C4X ELÉCTRICO 115 KW - 54KWh Ë Series","","Eléctricos puros","M1","2040","14.8","115.0","420.0","54.0"
"Citroën ë-C4X ELÉCTRICO 115 KW - 54KWh Max","","Eléctricos puros","M1","2040","14.8","115.0","420.0","54.0"
"Citroën ë-C4X ELÉCTRICO 115 KW - 54KWh Plus","","Eléctricos puros","M1","2040","14.8","115.0","420.0","54.0"
"Citroën ë-C4X ELÉCTRICO 115 KW - 54KWh You","","Eléctricos puros","M1","2040","14.8","115.0","420.0","54.0"
"Citroën ë-Jumper Batería 37 kWh 35 L2 H2","","Eléctricos puros","N1","3500","36.2","90.0","116.0","37.0"
"Citroën ë-Jumper Batería 70 kWh 35 L3 H2","","Eléctricos puros","N1","3500","36.6","90.0","213.0","70.0"
"Citroën ë-Jumpy Combi Talla  M  Eléctrico 100 KW 50 KWh","","Eléctricos puros","M1","3015","28.2","100.0","196.0","50.0"
"Citroën ë-Jumpy Combi Talla  M  Eléctrico 100 KW 75 KWh","","Eléctricos puros","M1","3100","29.5","100.0","285.0","75.0"
"Citroën ë-Jumpy Combi Talla  XL Eléctrico 100 KW 75 KWh","","Eléctricos puros","M1","3100","29.5","100.0","285.0","75.0"
"Citroën ë-Jumpy Talla M Eléctrico 100 kW 50 kWh","","Eléctricos puros","N1","2865","28.2","100.0","196.0","50.0"
"Citroën ë-Jumpy Talla M Eléctrico 100 kW 75 kWh","","Eléctricos puros","N1","3015","29.5","100.0","285.0","75.0"
"Citroën ë-Jumpy Talla XL Eléctrico 100 kW 75 kWh","","Eléctricos puros","N1","3015","29.5","100.0","285.0","75.0"
"Citroën ë-Jumpy Talla XS Eléctrico 100 kW 50 kWh","","Eléctricos puros","N1","2865","28.2","100.0","196.0","50.0"
"Citroën ë-SpaceTourer Business Talla M  Eléctrico 100 kW 75 kWh","","Eléctricos puros","M1","3100","29.5","100.0","285.0","75.0"
"Citroën ë-SpaceTourer Business Talla M Eléctrico 100 kW 50 kWh","","Eléctricos puros","M1","3015","28.2","100.0","196.0","50.0"
"Citroën ë-SpaceTourer Business Talla XL Eléctrico 100 kW 75 kWh","","Eléctricos puros","M1","3100","29.5","100.0","285.0","75.0"
"Citroën ë-SpaceTourer Business Talla XS Eléctrico 100 kW 50 kWh","","Eléctricos puros","M1","2925","28.2","100.0","196.0","50.0"
"Citroën ë-SpaceTourer Feel Talla M Eléctrico 100 kW 50 kWh","","Eléctricos puros","M1","2950","28.2","100.0","196.0","50.0"
"Citroën ë-SpaceTourer Feel Talla M Eléctrico 100 kW 75 kWh","","Eléctricos puros","M1","3100","29.5","100.0","285.0","75.0"
"Citroën ë-SpaceTourer Shine Talla M Eléctrico 100 kW 75 kWh","","Eléctricos puros","M1","3100","29.5","100.0","285.0","75.0"
"Citroën Grand C4 SpaceTourer BlueHDi 130 S&S 6v","","Gasóleo","M1","2175","","","",""
"Citroën Grand C4 SpaceTourer BlueHDi 130 S&S EAT8","","Gasóleo","M1","2290","","","",""
"Citroën Grand C4 SpaceTourer PureTech 130 S&S 6v","","Gasolina","M1","1935","","","",""
"Citroën Grand C4 SpaceTourer PureTech 130 S&S EAT8","","Gasolina","M1","2130","","","",""
