"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Peugeot 3008 3008 Allure Pack PLUG-IN HYBRID 180 e-EAT8","","Híbridos enchufables","M1","2290","17.6","81.0","59.0","12.4"
"Peugeot 3008 3008 Allure Pack PLUG-IN HYBRID 225 e-EAT8","","Híbridos enchufables","M1","2290","17.4","81.0","53.0","13.2"
"Peugeot 3008 3008 Allure Pack PLUG-IN HYBRID4 300 e-EAT8","","Híbridos enchufables","M1","2350","17.4","164.0","55.0","13.2"
"Peugeot 3008 3008 Allure Pack PureTech 130 S&S 6 Vel. MAN.","","Gasolina","M1","1910","","","",""
"Peugeot 3008 3008 Allure Pack PureTech 130 S&S EAT8","","Gasolina","M1","1940","","","",""
"Peugeot 3008 3008 Allure PureTech 130 S&S 6 Vel. MAN.","","Gasolina","M1","1910","","","",""
"Peugeot 3008 3008 Allure PureTech 130 S&S 6 Vel. MAN.","","Gasolina","M1","1920","","","",""
"Peugeot 3008 3008 Allure PureTech 130 S&S 6 Vel. MAN.","","Gasolina","M1","1910","","","",""
"Peugeot 3008 3008 Allure PureTech 130 S&S EAT8","","Gasolina","M1","1940","","","",""
"Peugeot 3008 3008 Allure PureTech 130 S&S EAT8","","Gasolina","M1","1950","","","",""
"Peugeot 3008 3008 Allure PureTech 130 S&S EAT8","","Gasolina","M1","1940","","","",""
"Peugeot 3008 3008 Allure PureTech 180 S&S EAT8","","Gasolina","M1","1970","","","",""
"Peugeot 3008 3008 GT BlueHDi 130 S&S 6vel MAN.","","Gasóleo","M1","1980","","","",""
"Peugeot 3008 3008 GT BlueHDi 130 S&S EAT8","","Gasóleo","M1","2000","","","",""
"Peugeot 3008 3008 GT BlueHDi 180 S&S EAT8","","Gasóleo","M1","2090","","","",""
"Peugeot 3008 3008 GT BlueHDi 180 S&S EAT8","","Gasóleo","M1","2090","","","",""
"Peugeot 3008 3008 GT HYBRID 225 e-EAT8","","Híbridos enchufables","M1","2297","175.0","80.0","60.0","11.8"
"Peugeot 3008 3008 GT HYBRID 225 e-EAT8","","Híbridos enchufables","M1","2270","174.0","80.0","40.0","11.8"
"Peugeot 3008 3008 GT HYBRID 300 e-EAT8","","Híbridos enchufables","M1","2330","174.0","160.0","62.0","13.2"
"Peugeot 3008 3008 GT HYBRID 300 e-EAT8","","Híbridos enchufables","M1","2270","174.0","80.0","40.0","11.8"
"Peugeot 3008 3008 GT Line BlueHDi 130 S&S 6vel MAN","","Gasóleo","M1","1980","","","",""
"Peugeot 3008 3008 GT Line BlueHDi 130 S&S 6vel MAN","","Gasóleo","M1","1980","","","",""
"Peugeot 3008 3008 GT Line BlueHDi 130 S&S 6vel MAN","","Gasóleo","M1","1970","","","",""
"Peugeot 3008 3008 GT Line BlueHDi 130 S&S EAT8","","Gasóleo","M1","2000","","","",""
"Peugeot 3008 3008 GT Line BlueHDi 130 S&S EAT8","","Gasóleo","M1","1990","","","",""
"Peugeot 3008 3008 GT Line HYBRID 225 e-EAT8","","Híbridos enchufables","M1","2297","175.0","80.0","60.0","11.8"
"Peugeot 3008 3008 GT Line HYBRID 225 e-EAT8","","Híbridos enchufables","M1","2270","174.0","80.0","40.0","11.8"
"Peugeot 3008 3008 GT Line HYBRID 300 e-EAT8","","Híbridos enchufables","M1","2330","174.0","160.0","62.0","13.2"
"Peugeot 3008 3008 GT Line HYBRID 300 e-EAT8","","Híbridos enchufables","M1","2270","174.0","80.0","40.0","11.8"
"Peugeot 3008 3008 GT Line PureTech 130 S&S 6vel MAN","","Gasolina","M1","1910","","","",""
"Peugeot 3008 3008 GT Line PureTech 130 S&S 6vel MAN","","Gasolina","M1","1920","","","",""
"Peugeot 3008 3008 GT Line PureTech 130 S&S EAT8","","Gasolina","M1","1940","","","",""
"Peugeot 3008 3008 GT Line PureTech 130 S&S EAT8","","Gasolina","M1","1950","","","",""
"Peugeot 3008 3008 GT Line PureTech 180 S&S EAT8","","Gasolina","M1","1970","","","",""
"Peugeot 3008 3008 GT Line PureTech 180 S&S EAT8","","Gasolina","M1","1960","","","",""
"Peugeot 3008 3008 GT Pack HYBRID 225 e-EAT8","","Híbridos enchufables","M1","2270","174.0","80.0","40.0","11.8"
"Peugeot 3008 3008 GT Pack HYBRID 300 e-EAT8","","Híbridos enchufables","M1","2270","174.0","80.0","40.0","11.8"
"Peugeot 3008 3008 GT Pack PLUG-IN HYBRID 225 e-EAT8","","Híbridos enchufables","M1","2290","17.4","81.0","53.0","13.2"
"Peugeot 3008 3008 GT Pack PLUG-IN HYBRID4 300 e-EAT8","","Híbridos enchufables","M1","2350","17.4","164.0","55.0","13.2"
"Peugeot 3008 3008 GT Pack PureTech 180 S&S EAT8","","Gasolina","M1","1970","","","",""
"Peugeot 3008 3008 GT PLUG-IN HYBRID 225 e-EAT8","","Híbridos enchufables","M1","2290","17.4","81.0","53.0","13.2"
"Peugeot 3008 3008 GT PLUG-IN HYBRID4 300 e-EAT8","","Híbridos enchufables","M1","2350","17.4","164.0","55.0","13.2"
"Peugeot 3008 3008 GT PureTech 130 S&S 6 Vel. MAN.","","Gasolina","M1","1910","","","",""
"Peugeot 3008 3008 GT PureTech 130 S&S EAT8","","Gasolina","M1","1940","","","",""
"Peugeot 3008 3008 GT PureTech 180 S&S EAT8","","Gasolina","M1","1970","","","",""
"Peugeot 3008 3008 Roadtrip BlueHDi 130 S&S 6 Vel. MAN","","Gasóleo","M1","1980","","","",""
"Peugeot 3008 3008 Roadtrip BlueHDI 130 S&S EAT8","","Gasóleo","M1","2000","","","",""
"Peugeot 3008 3008 Roadtrip HYBRID 225 e-EAT8","","Híbridos enchufables","M1","2290","14.7","80.0","40.0","11.8"
"Peugeot 3008 3008 Roadtrip HYBRID 300 e-EAT8","","Híbridos enchufables","M1","2350","14.7","80.0","40.0","11.8"
"Peugeot 3008 3008 Roadtrip PureTech 130 S&S 6 Vel. MAN","","Gasolina","M1","1980","","","",""
"Peugeot 3008 3008 Roadtrip PureTech 130 S&S EAT8","","Gasolina","M1","1940","","","",""
"Peugeot 3008 3008 Style BlueHDi 130 S&S 6vel MAN.","","Gasóleo","M1","1970","","","",""
"Peugeot 3008 3008 Style BlueHDi 130 S&S EAT8","","Gasóleo","M1","1990","","","",""
"Peugeot 3008 3008 Style PureTech 130 S&S 6 Vel. MAN.","","Gasolina","M1","1920","","","",""
"Peugeot 3008 3008 Style PureTech 130 S&S EAT8","","Gasolina","M1","1950","","","",""
"Peugeot 3008 Active Pack HYBRID 136 eDCS6","","Híbridos de gasolina","M1","2050","","15.6","",""
"Peugeot 3008 Allure Pack HYBRID 136 eDCS6","","Híbridos de gasolina","M1","2050","","15.6","",""
"Peugeot 3008 GT HYBRID 136 eDCS6","","Híbridos de gasolina","M1","2050","","15.6","",""
"Peugeot 308 308 5P Access BlueHDi 100 6 Vel. MAN","","Gasóleo","M1","1785","","","",""
"Peugeot 308 308 5P Access BlueHDi 100 S&s 6 Vel. MAN","","Gasóleo","M1","1785","","","",""
"Peugeot 308 308 5p Access PureTech 110 S&S 6 Vel. MAN","","Gasolina","M1","1750","","","",""
"Peugeot 308 308 5p Access PureTech 110 S&S 6 Vel. MAN","","Gasolina","M1","1750","","","",""
"Peugeot 308 308 5P Active BlueHDi 100 S&s 6 Vel. MAN","","Gasóleo","M1","1785","","","",""
"Peugeot 308 308 5p Active BlueHDi 130 S&S 6vel MAN","","Gasóleo","M1","1855","","","",""
"Peugeot 308 308 5P Active Pack BlueHDi 100 S&s 6 Vel. MAN","","Gasóleo","M1","1785","","","",""
"Peugeot 308 308 5p Active Pack BlueHDi 130 S&S 6vel MAN","","Gasóleo","M1","1855","","","",""
"Peugeot 308 308 5p Active Pack BlueHDi 130 S&S EAT8","","Gasóleo","M1","1840","","","",""
"Peugeot 308 308 5p Active Pack BlueHDi 130 S&S EAT8","","Gasóleo","M1","1855","","","",""
"Peugeot 308 308 5P Active Pack PureTech 110 S&S 6 Vel. MAN","","Gasolina","M1","1735","","","",""
"Peugeot 308 308 5P Active Pack PureTech 130 S&S 6 Vel. MAN","","Gasolina","M1","1745","","","",""
"Peugeot 308 308 5P Active Pack PureTech 130 S&S EAT8","","Gasolina","M1","1830","","","",""
"Peugeot 308 308 5P Active PureTech 110 S&S 6 Vel. MAN","","Gasolina","M1","1750","","","",""
"Peugeot 308 308 5P Active PureTech 110 S&S 6 Vel. MAN","","Gasolina","M1","1735","","","",""
"Peugeot 308 308 5P Active PureTech 130 S&S 6 Vel. MAN","","Gasolina","M1","1750","","","",""
"Peugeot 308 308 5P Active PureTech 130 S&S 6 Vel. MAN","","Gasolina","M1","1745","","","",""
"Peugeot 308 308 5P Active PureTech 130 S&S EAT8","","Gasolina","M1","1775","","","",""
"Peugeot 308 308 5p Allure BlueHDI 100 S&S 6 Vel. MAN","","Gasóleo","M1","1810","","","",""
"Peugeot 308 308 5p Allure BlueHDI 100 S&S 6 Vel. MAN","","Gasóleo","M1","1785","","","",""
"Peugeot 308 308 5p Allure BlueHDI 130 S&S 6 Vel. MAN","","Gasóleo","M1","1810","","","",""
"Peugeot 308 308 5p Allure BlueHDI 130 S&S 6 Vel. MAN","","Gasóleo","M1","1810","","","",""
"Peugeot 308 308 5p Allure BlueHDI 130 S&S 6 Vel. MAN","","Gasóleo","M1","1810","","","",""
"Peugeot 308 308 5p Allure BlueHDI 130 S&S 6 Vel. MAN","","Gasóleo","M1","1855","","","",""
"Peugeot 308 308 5p Allure BlueHDI 130 S&S EAT8","","Gasóleo","M1","1810","","","",""
"Peugeot 308 308 5p Allure BlueHDI 130 S&S EAT8","","Gasóleo","M1","1840","","","",""
"Peugeot 308 308 5p Allure BlueHDI 130 S&S EAT8","","Gasóleo","M1","1855","","","",""
"Peugeot 308 308 5p Allure Pack BlueHDI 100 S&S 6 Vel. MAN","","Gasóleo","M1","1785","","","",""
"Peugeot 308 308 5p Allure Pack BlueHDI 130 S&S 6 Vel. MAN","","Gasóleo","M1","1855","","","",""
"Peugeot 308 308 5p Allure Pack BlueHDI 130 S&S EAT8","","Gasóleo","M1","1840","","","",""
"Peugeot 308 308 5p Allure Pack BlueHDI 130 S&S EAT8","","Gasóleo","M1","1855","","","",""
"Peugeot 308 308 5p Allure Pack PureTech 110 S&S 6 Vel. MAN","","Gasolina","M1","1735","","","",""
"Peugeot 308 308 5p Allure Pack PureTech 130 S&S 6 Vel. MAN","","Gasolina","M1","1745","","","",""
"Peugeot 308 308 5p Allure Pack PureTech 130 S&S EAT8","","Gasolina","M1","1830","","","",""
"Peugeot 308 308 5p Allure Pack PureTech 130 S&S EAT8","","Gasolina","M1","1830","","","",""
"Peugeot 308 308 5p Allure PureTech 110 S&S 6 Vel. MAN","","Gasolina","M1","1750","","","",""
"Peugeot 308 308 5p Allure PureTech 110 S&S 6 Vel. MAN","","Gasolina","M1","1750","","","",""
"Peugeot 308 308 5p Allure PureTech 110 S&S 6 Vel. MAN","","Gasolina","M1","1735","","","",""
"Peugeot 308 308 5p Allure PureTech 130 S&S 6 Vel. MAN","","Gasolina","M1","1750","","","",""
"Peugeot 308 308 5p Allure PureTech 130 S&S 6 Vel. MAN","","Gasolina","M1","1750","","","",""
"Peugeot 308 308 5p Allure PureTech 130 S&S 6 Vel. MAN","","Gasolina","M1","1745","","","",""
"Peugeot 308 308 5p Allure PureTech 130 S&S EAT8","","Gasolina","M1","1775","","","",""
"Peugeot 308 308 5p Allure PureTech 130 S&S EAT8","","Gasolina","M1","1775","","","",""
"Peugeot 308 308 5p Allure PureTech 130 S&S EAT8","","Gasolina","M1","1830","","","",""
"Peugeot 308 308 5p Allure PureTech 130 S&S EAT8","","Gasolina","M1","1830","","","",""
"Peugeot 308 308 5P Business Line BlueHDi 100 S&s 6 Vel. MAN","","Gasóleo","M1","1785","","","",""
"Peugeot 308 308 5P Business Line BlueHDi 100 S&s 6 Vel. MAN","","Gasóleo","M1","1785","","","",""
"Peugeot 308 308 5p Business Line BlueHDi 130 S&S 6vel MAN","","Gasóleo","M1","1810","","","",""
"Peugeot 308 308 5p Business Line BlueHDi 130 S&S 6vel MAN","","Gasóleo","M1","1810","","","",""
"Peugeot 308 308 5P Business Line PureTech 110 S&S 6 vel MAN","","Gasolina","M1","1750","","","",""
"Peugeot 308 308 5P Business Line PureTech 110 S&S 6 vel MAN","","Gasolina","M1","1750","","","",""
"Peugeot 308 308 5P GT BlueHDi 130 S&S  EAT8","","Gasóleo","M1","1840","","","",""
"Peugeot 308 308 5p GT BlueHDI 130 S&S 6 Vel. MAN","","Gasóleo","M1","1855","","","",""
"Peugeot 308 308 5P GT BlueHDi 130 S&S EAT8","","Gasolina","M1","1840","","","",""
"Peugeot 308 308 5p GT BlueHDI 130 S&S EAT8","","Gasóleo","M1","1855","","","",""
"Peugeot 308 308 5P GT BlueHDi 180 S&S EAT8","","Gasóleo","M1","1930","","","",""
"Peugeot 308 308 5P GT Line BlueHDi 130 S&S 6 Vel. MAN","","Gasóleo","M1","1810","","","",""
"Peugeot 308 308 5P GT Line BlueHDi 130 S&S 6 Vel. MAN","","Gasóleo","M1","1810","","","",""
"Peugeot 308 308 5P GT Line PureTech 130 S&S 6 Vel. MAN","","Gasolina","M1","1750","","","",""
"Peugeot 308 308 5P GT Line PureTech 130 S&S EAT8","","Gasolina","M1","1775","","","",""
"Peugeot 308 308 5P GT Line PureTech 130 S&SEAT8","","Gasolina","M1","1750","","","",""
"Peugeot 308 308 5P GT Pack BlueHDi 130 S&S  EAT8","","Gasóleo","M1","1840","","","",""
"Peugeot 308 308 5p GT Pack BlueHDI 130 S&S 6 Vel. MAN","","Gasóleo","M1","1855","","","",""
"Peugeot 308 308 5P GT Pack BlueHDi 130 S&S EAT8","","Gasolina","M1","1840","","","",""
"Peugeot 308 308 5p GT Pack BlueHDI 130 S&S EAT8","","Gasóleo","M1","1855","","","",""
"Peugeot 308 308 5p GT Pack PureTech 130 S&S 6 Vel. MAN","","Gasolina","M1","1745","","","",""
"Peugeot 308 308 5P GT Pack PureTech 130 S&S EAT8","","Gasolina","M1","1830","","","",""
"Peugeot 308 308 5p GT Pack PureTech 130 S&S EAT8","","Gasolina","M1","1830","","","",""
"Peugeot 308 308 5p GT PureTech 130 S&S 6 Vel. MAN","","Gasolina","M1","1745","","","",""
"Peugeot 308 308 5P GT PureTech 130 S&S EAT8","","Gasolina","M1","1830","","","",""
"Peugeot 308 308 5p GT PureTech 130 S&S EAT8","","Gasolina","M1","1830","","","",""
"Peugeot 308 308 5P GT PureTech 225 S&S EAT8","","Gasolina","M1","1815","","","",""
"Peugeot 308 308 5P Style BlueHDi 100 S&S 6 Vel. MAN","","Gasóleo","M1","1785","","","",""
"Peugeot 308 308 5P Style BlueHDi 100 S&S 6 Vel. MAN","","Gasóleo","M1","1785","","","",""
"Peugeot 308 308 5p Style BlueHDi 130 S&S 6 Vel. MAN","","Gasóleo","M1","1810","","","",""
"Peugeot 308 308 5p Style BlueHDi 130 S&S 6 Vel. MAN","","Gasóleo","M1","1810","","","",""
"Peugeot 308 308 5p Style BlueHDi 130 S&S EAT8","","Gasóleo","M1","1810","","","",""
"Peugeot 308 308 5p Style PureTech 110 S&S 6vel MAN","","Gasolina","M1","1750","","","",""
"Peugeot 308 308 5p Style PureTech 110 S&S 6vel MAN","","Gasolina","M1","1750","","","",""
"Peugeot 308 308 5p Style PureTech 130 S&S 6 Vel. MAN","","Gasolina","M1","1750","","","",""
"Peugeot 308 308 5p Style PureTech 130 S&S 6 Vel. MAN","","Gasolina","M1","1750","","","",""
"Peugeot 308 308 5p Style PureTech 130 S&S EAT8","","Gasolina","M1","1775","","","",""
"Peugeot 308 308 5p Style PureTech 130 S&S EAT8","","Gasolina","M1","1775","","","",""
"Peugeot 308 308 GTi 263","","Gasolina","M1","1790","","","",""
"Peugeot 308 308 SW Access BlueHDi 100 S&S 6 Vel. MAN","","Gasóleo","M1","1840","","","",""
"Peugeot 308 308 SW Access PureTech 110 S&S 6 Vel. MAN","","Gasolina","M1","1800","","","",""
"Peugeot 308 308 SW Active BlueHDi 100 S&s 6 Vel. MAN","","Gasóleo","M1","1840","","","",""
"Peugeot 308 308 SW Active BlueHDi 130 S&S 6vel MAN","","Gasóleo","M1","1930","","","",""
"Peugeot 308 308 SW Active BlueHDi 130 S&S EAT8","","Gasóleo","M1","1890","","","",""
"Peugeot 308 308 SW Active Pack BlueHDi 100 S&s 6 Vel. MAN","","Gasóleo","M1","1840","","","",""
"Peugeot 308 308 SW Active Pack BlueHDi 130 S&S 6vel MAN","","Gasóleo","M1","1930","","","",""
"Peugeot 308 308 SW Active Pack BlueHDi 130 S&S EAT8","","Gasóleo","M1","1890","","","",""
"Peugeot 308 308 SW Active Pack PureTech 110 S&S 6 Vel. MAN","","Gasolina","M1","1800","","","",""
"Peugeot 308 308 SW Active Pack PureTech 130 S&S 6 Vel. MAN","","Gasolina","M1","1810","","","",""
"Peugeot 308 308 SW Active Pack PureTech 130 S&S EAT8","","Gasolina","M1","1850","","","",""
"Peugeot 308 308 SW Active PureTech 110 S&S 6 Vel. MAN","","Gasolina","M1","1800","","","",""
"Peugeot 308 308 SW Active PureTech 110 S&S 6 Vel. MAN","","Gasolina","M1","1800","","","",""
"Peugeot 308 308 SW Active PureTech 130 S&S 6 Vel. MAN","","Gasolina","M1","1830","","","",""
"Peugeot 308 308 SW Active PureTech 130 S&S 6 Vel. MAN","","Gasolina","M1","1810","","","",""
"Peugeot 308 308 SW Active PureTech 130 S&S EAT8","","Gasolina","M1","1825","","","",""
"Peugeot 308 308 SW Active PureTech 130 S&S EAT8","","Gasolina","M1","1850","","","",""
"Peugeot 308 308 SW Allure BlueHDI 130 S&S 6 Vel. MAN","","Gasóleo","M1","1900","","","",""
"Peugeot 308 308 SW Allure BlueHDI 130 S&S 6 Vel. MAN","","Gasóleo","M1","1900","","","",""
"Peugeot 308 308 SW Allure BlueHDI 130 S&S 6 Vel. MAN","","Gasóleo","M1","1930","","","",""
"Peugeot 308 308 SW Allure BlueHDi 130 S&S 6vel MAN","","Gasóleo","M1","1930","","","",""
"Peugeot 308 308 SW Allure BlueHDi 130 S&S EAT8","","Gasóleo","M1","1890","","","",""
"Peugeot 308 308 SW Allure Pack BlueHDI 130 S&S 6 Vel. MAN","","Gasóleo","M1","1930","","","",""
"Peugeot 308 308 SW Allure Pack BlueHDi 130 S&S 6vel MAN","","Gasóleo","M1","1930","","","",""
"Peugeot 308 308 SW Allure Pack BlueHDi 130 S&S EAT8","","Gasóleo","M1","1890","","","",""
"Peugeot 308 308 SW Allure Pack PureTech 130 S&S 6 Vel. MAN","","Gasolina","M1","1810","","","",""
"Peugeot 308 308 SW Allure Pack PureTech 130 S&S EAT8","","Gasolina","M1","1850","","","",""
"Peugeot 308 308 SW Allure PureTech 130 S&S 6 Vel. MAN","","Gasolina","M1","1830","","","",""
"Peugeot 308 308 SW Allure PureTech 130 S&S 6 Vel. MAN","","Gasolina","M1","1810","","","",""
"Peugeot 308 308 SW Allure PureTech 130 S&S EAT8","","Gasolina","M1","1825","","","",""
"Peugeot 308 308 SW Allure PureTech 130 S&S EAT8","","Gasolina","M1","1850","","","",""
"Peugeot 308 308 SW Business Line BlueHDi 100 S&S 6 Vel. MAN","","Gasóleo","M1","1840","","","",""
"Peugeot 308 308 SW Business Line BlueHDi 130 S&S 6vel MAN","","Gasóleo","M1","1900","","","",""
"Peugeot 308 308 SW Business Line PureTech 110 S&S 6 vel MAN","","Gasolina","M1","1800","","","",""
"Peugeot 308 308 SW GT BlueHDi 130 S&S  EAT8","","Gasóleo","M1","1890","","","",""
"Peugeot 308 308 SW GT BlueHDi 130 S&S 6 Vel. MAN","","Gasóleo","M1","1930","","","",""
"Peugeot 308 308 SW GT BlueHDi 130 S&S 6vel MAN","","Gasóleo","M1","1930","","","",""
"Peugeot 308 308 SW GT BlueHDi 130 S&S EAT8","","Gasolina","M1","1890","","","",""
"Peugeot 308 308 SW GT BlueHDi 130 S&S EAT8","","Gasóleo","M1","1890","","","",""
"Peugeot 308 308 SW GT BlueHDi 180 S&S EAT8","","Gasóleo","M1","2020","","","",""
"Peugeot 308 308 SW GT Line BlueHDi 130 S&S 6 Vel. MAN","","Gasóleo","M1","1900","","","",""
"Peugeot 308 308 SW GT Line BlueHDi 130 S&S 6 Vel. MAN","","Gasóleo","M1","1900","","","",""
"Peugeot 308 308 SW GT Line PureTech 130 S&S 6 Vel. MAN","","Gasolina","M1","1830","","","",""
"Peugeot 308 308 SW GT Line PureTech 130 S&S EAT8","","Gasolina","M1","1825","","","",""
"Peugeot 308 308 SW GT Pack BlueHDi 130 S&S  EAT8","","Gasóleo","M1","1890","","","",""
"Peugeot 308 308 SW GT Pack BlueHDi 130 S&S 6 Vel. MAN","","Gasóleo","M1","1930","","","",""
"Peugeot 308 308 SW GT Pack BlueHDi 130 S&S 6vel MAN","","Gasóleo","M1","1930","","","",""
"Peugeot 308 308 SW GT Pack BlueHDi 130 S&S EAT8","","Gasolina","M1","1890","","","",""
"Peugeot 308 308 SW GT Pack BlueHDi 130 S&S EAT8","","Gasóleo","M1","1890","","","",""
"Peugeot 308 308 SW GT Pack PureTech 130 S&S 6 Vel. MAN","","Gasolina","M1","1810","","","",""
"Peugeot 308 308 SW GT Pack PureTech 130 S&S 6 Vel. MAN","","Gasolina","M1","1810","","","",""
"Peugeot 308 308 SW GT Pack PureTech 130 S&S EAT8","","Gasolina","M1","1850","","","",""
"Peugeot 308 308 SW GT Pack PureTech 130 S&S EAT8","","Gasolina","M1","1850","","","",""
"Peugeot 308 308 SW GT PureTech 130 S&S 6 Vel. MAN","","Gasolina","M1","1810","","","",""
"Peugeot 308 308 SW GT PureTech 130 S&S 6 Vel. MAN","","Gasolina","M1","1810","","","",""
"Peugeot 308 308 SW GT PureTech 130 S&S EAT8","","Gasolina","M1","1850","","","",""
"Peugeot 308 308 SW GT PureTech 130 S&S EAT8","","Gasolina","M1","1850","","","",""
"Peugeot 308 308 SW GT PureTech 225 S&S EAT8","","Gasolina","M1","1870","","","",""
"Peugeot 308 308 SW Style BlueHDi 100 S&S 6 Vel. MAN","","Gasóleo","M1","1840","","","",""
"Peugeot 308 308 SW Style BlueHDi 130 S&S 6 Vel. MAN","","Gasóleo","M1","1900","","","",""
"Peugeot 308 308 SW Style PureTech 110 S&S 6 Vel. MAN","","Gasolina","M1","1800","","","",""
"Peugeot 308 308 SW Style PureTech 130 S&S 6 Vel. MAN","","Gasolina","M1","1830","","","",""
"Peugeot 308 308 SW Style PureTech 130 S&S EAT8","","Gasolina","M1","1825","","","",""
"Peugeot 308 308 Tech Edition BlueHDi 130 S&S 6 Vel. MAN","","Gasóleo","M1","1810","","","",""
"Peugeot 308 308 Tech Edition BlueHDi 130 S&S 6 Vel. MAN","","Gasóleo","M1","1810","","","",""
"Peugeot 308 308 Tech Edition BlueHDi 130 S&S EAT8","","Gasóleo","M1","1840","","","",""
"Peugeot 308 308 Tech Edition BlueHDi 130 S&S EAT8","","Gasóleo","M1","1840","","","",""
"Peugeot 308 308 Tech Edition PureTech 130 S&S 6 Vel. MAN","","Gasolina","M1","1750","","","",""
"Peugeot 308 308 Tech Edition PureTech 130 S&S 6 Vel. MAN","","Gasolina","M1","1750","","","",""
"Peugeot 308 308 Tech Edition PureTech 130 S&S EAT8","","Gasolina","M1","1775","","","",""
"Peugeot 308 308 Tech Edition PureTech 130 S&S EAT8","","Gasolina","M1","1775","","","",""
"Peugeot 308 5P Active Pack PLUG-IN HYBRID 180 eEAT8","","Híbridos enchufables","M1","2120","14.7","80.0","60.0","12.4"
"Peugeot 308 5P Active PLUG-IN HYBRID 180 eEAT8","","Híbridos enchufables","M1","2120","14.7","80.0","60.0","12.4"
"Peugeot 308 5P Allure Eléctrico 156 (115 Kw)","","Eléctricos puros","M1","2110","14.4","115.0","413.0","54.0"
"Peugeot 308 5P Allure Pack PLUG-IN HYBRID 180 eEAT8","","Híbridos enchufables","M1","2120","14.7","80.0","60.0","12.4"
"Peugeot 308 5P Allure PLUG-IN HYBRID 180 eEAT8","","Híbridos enchufables","M1","2120","14.7","80.0","60.0","12.4"
"Peugeot 308 5P GT Eléctrico 156 (115 Kw)","","Eléctricos puros","M1","2110","14.4","115.0","413.0","54.0"
"Peugeot 308 5P GT Pack PLUG-IN HYBRID 180 eEAT8","","Híbridos enchufables","M1","2120","15.0","80.0","60.0","12.4"
"Peugeot 308 5P GT Pack PLUG-IN HYBRID 225 eEAT8","","Híbridos enchufables","M1","2120","15.6","80.0","60.0","12.4"
"Peugeot 308 5P GT PLUG-IN HYBRID 180 eEAT8","","Híbridos enchufables","M1","2120","15.0","80.0","60.0","12.4"
"Peugeot 308 5P GT PLUG-IN HYBRID 225 eEAT8","","Híbridos enchufables","M1","2120","15.7","80.0","60.0","12.4"
"Peugeot 308 SW Active Pack PLUG-IN HYBRID 180 eEAT8","","Híbridos enchufables","M1","2170","14.8","80.0","60.0","12.4"
"Peugeot 308 SW Active PLUG-IN HYBRID 180 eEAT8","","Híbridos enchufables","M1","2170","14.8","80.0","60.0","12.4"
"Peugeot 308 SW Allure Eléctrico 156 (115 Kw)","","Eléctricos puros","M1","2175","14.4","115.0","413.0","54.0"
"Peugeot 308 SW Allure Pack PLUG-IN HYBRID 180 eEAT8","","Híbridos enchufables","M1","2170","14.8","80.0","60.0","12.4"
"Peugeot 308 SW Allure PLUG-IN HYBRID 180 eEAT8","","Híbridos enchufables","M1","2170","14.8","80.0","60.0","12.4"
"Peugeot 308 SW GT Eléctrico 156 (115 Kw)","","Eléctricos puros","M1","2175","14.4","115.0","413.0","54.0"
"Peugeot 308 SW GT Pack PLUG-IN HYBRID 180 eEAT8","","Híbridos enchufables","M1","2170","15.0","80.0","60.0","12.4"
"Peugeot 308 SW GT Pack PLUG-IN HYBRID 225 eEAT8","","Híbridos enchufables","M1","2170","15.6","80.0","60.0","12.4"
"Peugeot 308 SW GT PLUG-IN HYBRID 180 eEAT8","","Híbridos enchufables","M1","2170","15.0","80.0","60.0","12.4"
"Peugeot 308 SW GT PLUG-IN HYBRID 225 eEAT8","","Híbridos enchufables","M1","2170","15.6","80.0","60.0","12.4"
"Peugeot 408 Allure Pack PLUG-IN HYBRID 180 e-EAT8","","Híbridos enchufables","M1","2220","14.4","80.0","60.0","12.4"
"Peugeot 408 Allure Pack PLUG-IN HYBRID 225 e-EAT8","","Híbridos enchufables","M1","2220","14.4","80.0","60.0","12.4"
"Peugeot 408 Allure Pack Puretech 130 S&S EAT8","","Gasolina","M1","1920","","","",""
"Peugeot 408 Allure PLUG-IN HYBRID 180 e-EAT8","","Híbridos enchufables","M1","2220","14.4","80.0","60.0","12.4"
"Peugeot 408 Allure Puretech 130 S&S EAT8","","Gasolina","M1","1920","","","",""
"Peugeot 408 First Edition PLUG-IN HYBRID 225 e-EAT8","","Híbridos enchufables","M1","2220","14.4","80.0","60.0","12.4"
"Peugeot 408 GT PLUG-IN HYBRID 180 e-EAT8","","Híbridos enchufables","M1","2220","14.4","80.0","60.0","12.4"
"Peugeot 408 GT PLUG-IN HYBRID 225 e-EAT8","","Híbridos enchufables","M1","2220","14.4","80.0","60.0","12.4"
"Peugeot 408 GT Puretech 130 S&S EAT8","","Gasolina","M1","1920","","","",""
"Peugeot 5008 5008 Active BlueHDi 130 S&S 6 Vel. MAN.","","Gasóleo","M1","2190","","","",""
"Peugeot 5008 5008 Active BlueHDi 130 S&S 6 Vel. MAN.","","Gasóleo","M1","2180","","","",""
"Peugeot 5008 5008 Active BlueHDi 130 S&S 6 Vel. MAN.","","Gasóleo","M1","2200","","","",""
